ID,Language,Glottocode,Family,Domain,Strategy,Example,Gloss,Translation,Comment,Source
tar1,Tariana,tari1256,Arawakan,N/A,N/A,tsu-ita-pe-tupe-pidana na-musu na-keña nha-tupe-nuku di-ña-nipe-wisa-pidana pa! di-whida maña dhemathani di-a-nipe-pidana,small-CL:ANIM-PL-DIM:PL—REM.P.REP 3pl-go.out 3pl-start they-DIM:PL-TOP.NON.A/S 3pl-hit-HABIT.REP-SMASH-REM.P.REP pa! 3sgnf-head middle 3sgnf+shout 3sgnf-go-HABIT.REP.P.REP,"Little ones (evil spirits) started coming out (of the tree where they lived), he repeatedly hit them by smashing, pa! in the middle of the head, (and) they kept shouting.",Contrast,Aikhenvald2003[329]
tar2,Tariana,tari1256,Arawakan,N/A,N/A,diha kaɾapi-pe-nuku di-ña-bala di-ɾuku-i-nipe-pidana,he plate-TOP.NON.A/S 3sgnf-hit-EVERYWHERE 3sgnf-go.down-CAUS-HABIT.REP-REM.P.REP,He (the angry young man) kept hitting and throwing the plates everywhere.,Contrast,Aikhenvald2003[330]
tar3,Tariana,tari1256,Arawakan,N/A,N/A,ha-keɾi disa di-nu di-dia di-nu di-ni-nipe-pidana,DEM:INAN-MOON 3sgnf+go.up 3sgnf-come 3sgnf-return 3sgnf-come 3sgnf-do-HABIT.REPREM.P.REP,"The moon used to go up, come and go back all the time.",Contrast,Aikhenvald2003[330]
upr1,Upriver_Halkomelem,upri1241,Salishan,Verbal,Stem_Suppletion,yaleq’-et-es te theqat,fall.PLURAC-TRANS-3SUBJ DET tree,"He felled the trees. (all in one blow, or one after the other)",,Thompson2009[1]
upr2,Upriver_Halkomelem,upri1241,Salishan,Verbal,Stem_Suppletion,yaleq’-et-es te theqat,fall.PLURAC-TRANS-3SUBJ DET tree,He felled the same (magic) tree over and over.,,Thompson2009[1]
upr3,Upriver_Halkomelem,upri1241,Salishan,Verbal,Stem_Suppletion,yaleq’-et-es te theqat,fall.PLURAC-TRANS-3SUBJ DET tree,They felled the tree.,,Thompson2009[1]
upr4,Upriver_Halkomelem,upri1241,Salishan,Verbal,Stem_Suppletion,yaleq’-et-es te theqat,fall.PLURAC-TRANS-3SUBJ DET tree,They felled the trees.,,Thompson2009[1]
upr5,Upriver_Halkomelem,upri1241,Salishan,Verbal,Stem_Suppletion,yaleq’-et-es te theqat,fall.PLURAC-TRANS-3SUBJ DET tree,*He felled the tree (once).,,Thompson2009[1]
kaq1,Kaqchikel,kaqc1270,Mayan,N/A,N/A,x-in-kan-oj jun wuj,CP-E1S-search-SS a book,I looked for a book.,,Henderson2011[219]
kaq2,Kaqchikel,kaqc1270,Mayan,Verbal,Suffixation,x-in-kan-ala’ jun wuj,CP-E1S-search-PLRC a book,I looked for a book (various times).,,Henderson2011[219]
iqu1,Iquito,cahu1267,Zaparoan,N/A,N/A,Nu=asa-a-∅ núquiica páapaaja,3s=eat-IPFV-EC one fish,He is eating a fish.,,Lai2009[526-7]
iqu2,Iquito,cahu1267,Zaparoan,Verbal,Suffixation,Nu=asa-s++-yaa-∅ páapaajaa,3S=eat-FREQ-IPFV-EC fish,He eats a fish every day.,Habitual reading influenced by IMPFV.,Lai2009[527]
iqu3,Iquito,cahu1267,Zaparoan,Verbal,Suffixation,Nu=asa-s++-yaa-∅ páapaajaa,3S=eat-FREQ-IPFV-EC fish,He eats a fish three times a day.,Habitual reading influenced by IMPFV.,Lai2009[527]
iqu4,Iquito,cahu1267,Zaparoan,Verbal,Suffixation,Nu=asa-s++-yaa-∅ páapaajaa,3S=eat-FREQ-IPFV-EC fish,He is eating a fish many times in different places.,,Lai2009[527]
iqu5,Iquito,cahu1267,Zaparoan,Verbal,Suffixation,Nu=asa-s++-∅ páapaajaa,3S=eat-FREQ-EC fish,He ate fish many times today.,"With PFV, the reading can only be frequentative or frequentative and spatially distributive within a limit period of time, indicated by tense or by an adverbial.",Lai2009[527]
iqu6,Iquito,cahu1267,Zaparoan,Verbal,Suffixation,Nu=asa-s++-∅ páapaajaa,3S=eat-FREQ-EC fish,He ate fish three times (as at three meals) today.,"With PFV, the reading can only be frequentative or frequentative and spatially distributive within a limit period of time, indicated by tense or by an adverbial.",Lai2009[527]
iqu7,Iquito,cahu1267,Zaparoan,Verbal,Suffixation,Nu=asa-s++-∅ páapaajaa,3S=eat-FREQ-EC fish,He ate fish many times in different places today.,"With PFV, the reading can only be frequentative or frequentative and spatially distributive within a limit period of time, indicated by tense or by an adverbial.",Lai2009[528]
iqu8,Iquito,cahu1267,Zaparoan,Verbal,Suffixation,P+y++ni yahu++ni=jina nu=asa-s++-yaa-∅ páapaaja,all day=LOC 3S=eat-FREQ-IPFV-EC fish,Everyday he eats fish in a different place.,"For some speakers, when frequentative adverbials as well as derivational morpheme -s++, the spatially distributive reading is triggered. With the frequentative/habitual reading, the morpheme is redundant.",Lai2009[529]
iqu9,Iquito,cahu1267,Zaparoan,Verbal,Suffixation,Núquiica yahu++ni=jina un?asa-s++-yaa-∅ núquiica páapaaja,one day=LOC 3S=eat-FREQ-IPFV-EC one fish,He eats a fish per day (and) every day in a different place.,"For some speakers, when frequentative adverbials as well as derivational morpheme -s++, the spatially distributive reading is triggered. With the frequentative/habitual reading, the morpheme is redundant.",Lai2009[529]
iqu10,Iquito,cahu1267,Zaparoan,Verbal,Suffixation,Ácari yahu++ni nu=asa-s++-yaa-∅ masiaana páapaaja,now day 3=eat-FREQ-IPFV-EC a.lot.of fish,Today he is eating a lot of fish in different places.,"If an adverbial indicating a limited period of time is present, the frequentative spatially distributive reading is also triggered.",Lai2009[530]
jur1,Juruna,juru1256,Tupi,Nominal/Verbal,Suffixation/Reduplication,Iidja-i ali etaetaeta,woman-PL child tobath.RED,The women will bathe the child.,Plural [-i] restricted [+human].,Lima2007[118]
